Track_ID,Latitude,Longitude,Vibration_Mean,Vibration_Max,Vibration_RMS,Vibration_STD,Jerk,Train_Speed,Consensus_Count,Rainfall,Temperature,Humidity,Historical_Defects,Days_Since_Last_Inspection,Track_Age_Years,Daily_Train_Frequency,Axle_Load,Maintenance_Quality,Track_Type,Season,Defect_Type,Risk_Score,Maintenance_Cost,Estimated_Failure_Days,Risk_Label
TRK_00001,28.605997065366047,77.56550001448693,5.697139284156342,7.862055844948509,6.231362757823197,1.9830774917473672,2.245251144248418,64.33937943676301,3,8.12037280884873,24.027928764370635,62.032926425886984,4,100,24,64,22.751067647801506,0.14286681792194078,Freight,Monsoon,Misalignment,67.88231260422762,133964,213,Medium
TRK_00002,28.61035409519694,77.58826162006474,4.595786970080073,5.733341054540946,5.486971452574611,1.312813922375438,1.9000788570991265,75.21219949916811,2,5.442460308702238,16.757488779543145,35.596923252193996,1,316,25,6,25.263495397682355,0.5632882178455393,Mainline,Winter,Misalignment,62.526395748487374,125131,212,Medium
TRK_00003,28.417222310850555,77.4895993422165,5.790383285502894,9.706411957666843,6.515907701526029,1.68420610628886,2.148000858642731,45.964051494381664,3,23.533177315875882,31.454535946133472,71.42892690820423,7,215,14,33,27.032954711310595,0.5208342600258237,Mainline,Monsoon,Track Wear,76.07568883277426,145590,236,Medium
TRK_00004,28.452475564069726,77.1595727765388,6.071095104979204,9.105377869638016,6.960174873690516,2.403420023231112,2.5513047652888585,42.03353013952761,4,16.825955754154542,25.571383308870836,79.64351990466955,4,101,35,83,26.413115275378246,0.9717120953891037,Freight,Monsoon,Track Wear,90.28047367742789,170807,175,High
TRK_00005,28.488671707989702,77.5507883566398,7.1991893995213045,9.087620641404225,7.143027840321724,2.282233577886026,2.9538187068372244,40.55617044249526,4,22.429211803754356,32.44773699968849,66.52995206101126,4,331,30,81,27.910958748845154,0.32434502100527396,Branch,Monsoon,Crack,96.93824523591307,176944,199,Critical
TRK_00006,28.93448014549653,77.57371310645948,6.717446386590953,9.196064210836571,6.8080383125238635,2.7213051963846953,3.362634711634121,84.23144712570624,4,11.017566196335393,25.70292642690708,61.291043157408645,4,2,49,48,21.716747468596374,0.5026790232288615,Mainline,Monsoon,Misalignment,87.39886878072681,160272,191,High
TRK_00007,28.85941637257408,77.12454604548022,4.02217181967654,7.963036296639629,4.0730577645617965,1.0456050171968576,1.9572205231698994,81.42010804219841,1,2.954464715941209,40.163465427634236,25.580574012474965,0,147,3,37,20.963580316312836,0.3486659872917294,Mainline,Summer,Normal,49.893825902041556,99913,272,Safe
TRK_00008,28.543456046156724,77.59737758983054,6.560133943012445,10.327714733783218,7.142487454415566,1.4466103866524302,2.481631569694779,40.4049267076975,3,22.652726863786793,24.453192408437932,69.76049734072636,8,304,19,93,24.952526536620837,0.8466611422383059,Branch,Monsoon,Track Wear,92.33282133474664,182358,205,Critical
TRK_00009,28.867072875771797,77.36032902461024,6.546197538244397,8.664438905431432,7.406390364963908,2.365965233162622,3.1847710820032575,43.4883017403547,4,1.8385790152971677,33.97803551522588,33.539637518267924,8,230,38,39,31.528310214594633,0.3930977246667604,Freight,Summer,Crack,92.51517469434127,179218,180,Critical
TRK_00010,28.44144044080337,77.11398791350103,5.313882238748196,9.276956709765013,5.9503011279425175,1.0593390178445843,2.5085165591804848,51.20672121892192,2,2.4263993713815784,35.590303006410736,38.81420133833153,0,360,3,51,29.85080775156395,0.0704161308495439,Mainline,Summer,Track Wear,60.251497517659715,106041,234,Safe
TRK_00011,28.73633254097612,76.95711592628017,5.424387874802865,6.579726812520558,5.588306492410733,1.5453007304155961,2.4734589357206342,52.403329338219535,3,8.885479070240844,22.92223192099906,73.88743395248609,1,143,14,90,19.92229001212098,0.375582952639944,Mainline,Monsoon,Loose Joint,64.68073056144094,136108,232,Medium
TRK_00012,28.50690901869718,77.18794773353967,5.353666153621104,6.9794143243054485,5.453957631418618,1.4500345986915617,2.445333430530764,95.67793648749584,3,0.6637271112148491,44.543053006712384,50.01082864629832,3,145,19,66,32.53970180768309,0.39882090144479454,Freight,Summer,Loose Joint,75.43639533999958,147954,259,Medium
TRK_00013,28.76141123067509,77.20497102907453,7.721542920270557,8.913778617058693,8.66051779818022,2.1352760699720887,3.6301984773736327,67.70434568715206,4,2.8301860524703812,32.37969671463736,29.205762673197476,4,220,29,52,32.10369465576169,0.04600264202175275,Freight,Summer,Crack,96.40140736278858,191303,203,Critical
TRK_00014,28.919140382508417,77.56097611798761,6.090541829403573,8.366444350578618,6.904392202566919,2.138197094614073,2.2780739034797124,47.55543686047427,3,21.018985893647994,30.803188450978762,80.06784645851766,5,179,33,50,15.273327384773246,0.8206394757439553,Branch,Monsoon,Track Wear,90.30034941951116,180156,213,High
TRK_00015,28.88260960743988,77.41454973066271,7.452625907285716,12.279829447791542,8.06474979259488,3.0574785494522017,3.3298044317187974,47.99879097294907,4,0.8871977188986141,41.25922127461288,53.239215874354244,11,99,49,90,19.464527617639664,0.4126176769114265,Branch,Summer,Track Wear,110.49859330515761,217885,186,Critical
TRK_00016,28.517000342263323,77.56233618001718,4.336138627225,7.0405045274127644,4.4032303283102365,0.945563183272773,1.8866058267763064,106.9571099389899,1,4.654645528436463,44.613723128016154,59.85759347106152,1,163,5,80,30.320450152625586,0.8877041827582998,Freight,Summer,Normal,51.51003921413079,105037,258,Safe
TRK_00017,28.725538806351704,77.14515277269022,5.9792422947695165,8.12209063989696,6.821561248596868,1.7466915435832484,2.366706835666957,86.66950120777277,3,12.559751802445088,31.166096735856577,68.70534540506007,4,39,19,43,31.19067318898135,0.43445184448827134,Freight,Monsoon,Track Wear,77.87998249054236,148839,214,High
TRK_00018,28.782476117708654,76.95280418296284,3.620153921701713,6.173227457661202,3.6954276165476525,0.4814151675863342,1.4482671349920198,66.85280518375706,1,1.4724697341971493,44.93747062544056,49.392376955233516,2,144,3,80,16.601340989038267,0.7371007058430192,Mainline,Summer,Normal,40.241268689173104,96256,254,Safe
TRK_00019,28.54902670338332,76.99322958765663,3.252700100435321,7.569356983261379,3.735597863434218,1.244531885097799,1.2882282367401574,78.42960654930837,2,3.3331124619078336,18.717439317712394,76.36294483260018,1,312,10,37,26.664034256028383,0.8766614859257927,Mainline,Winter,Loose Joint,59.04600807672328,117614,263,Safe
TRK_00020,28.799366464239515,77.42995684142971,4.791422463153239,9.663317524912532,4.697512331192015,0.8401245107303885,2.3972694805616825,106.5097192050001,2,1.0252266425326244,33.77163659267698,34.61561289590681,1,288,4,38,22.143160451835215,0.04689646779121992,Mainline,Summer,Track Wear,72.02971075274316,144816,248,Medium
TRK_00021,28.78724387245457,77.04907491305624,4.902160372572755,8.435763789839658,4.9903351151065864,1.6701088571848988,1.88053321131747,118.40260602283817,2,1.7529377940329849,38.848765302819494,38.728541578490635,8,308,27,88,21.887036343573918,0.5474463068991116,Mainline,Summer,Loose Joint,77.30533200051727,148648,229,High
TRK_00022,28.767156756186566,77.02062390984115,6.08484697397668,9.131475028165726,6.0732201932361125,1.6759670376024214,2.537933464955561,47.38324689829969,3,0.8446753153608227,34.17885508547938,31.19536694968614,3,326,21,49,19.823741470200435,0.12063587110060081,Mainline,Summer,Track Wear,71.34387066881237,144816,223,Medium
TRK_00023,28.52986409321457,77.4319687862563,2.7358128823894847,5.244949534807976,2.5598983197227563,0.35631084788333944,1.2140851998766915,82.60938131640185,1,0.4987309000899316,12.2160863785934,40.99026178643652,1,111,3,22,26.711185502351817,0.8444406726336288,Freight,Winter,Normal,27.51545056044565,73024,327,Safe
TRK_00024,28.834044181234034,77.24890953925033,5.463994512273498,9.867264583618082,5.36945966172167,0.9840314077565901,2.641869521974511,58.02662381700226,3,16.736822360417584,31.69071316439629,75.10808411803878,5,42,19,37,15.11301544701112,0.28377590579872447,Mainline,Monsoon,Track Wear,75.00640357109509,146910,220,Medium
TRK_00025,28.541846554874716,77.01962131117305,7.436245760239984,10.811778150471579,7.679322338051859,2.7777312604242246,3.2406879523759398,80.48831650874776,5,4.454103144111438,18.574190342048496,47.59905921471279,5,133,44,68,21.30935269384513,0.18704374855752337,Freight,Winter,Track Wear,114.94976131178264,212248,140,Critical
TRK_00026,28.47635362539311,76.90189762959004,4.562413772599993,8.760562296278056,5.352572984631349,1.1453222607311206,1.7841935707143661,97.72772406010218,3,17.122037621116775,32.325762849564015,63.73447375397026,3,318,5,39,28.89674135384567,0.7459745255487181,Mainline,Monsoon,Loose Joint,57.93026109143999,120836,214,Safe
TRK_00027,28.77564013487942,77.21636402090932,5.666477475972564,7.223565766626113,6.419307703096919,2.2959044564767934,2.7791968900156414,115.18656988907802,4,4.992812353454701,18.096715928719497,54.74351039247526,3,153,33,43,21.75347061062546,0.3553624518183959,Freight,Winter,Loose Joint,77.21725145571173,145316,193,Medium
TRK_00028,28.536669026897954,77.42076240480087,6.692507066787087,11.3263093121216,7.192577220506432,2.2164226782788212,2.85188807245553,60.14392471255622,4,20.24917371481381,33.397953277902744,71.97286120505676,7,159,38,40,23.140866650213944,0.3788215655569157,Mainline,Monsoon,Track Wear,101.17186125095364,193553,215,Critical
